"","business_id","Group 1","Group 2","Group 3","Group 4","Group 5"
"1","__kNfrrGoUXoF-BYciMU_Q",23,37,54,59,61
"2","_-1EgXrkOlKajCsmasuEgg",6,5,5,4,2
"3","_-VPCIdtP19HQI7CcsfVTA",13,20,19,23,23
"4","_1GI_asXVGhOJMNF51SdlQ",2,3,0,0,0
"5","_20WCD89imWx15jlxv7kGg",21,17,22,23,23
"6","_2FUpthYr7h9VLNbe9Gxyw",15,16,9,12,12
"7","_2RBxybvzNmw2k1_jJTe1Q",13,26,17,27,28
"8","_3f8o37w8APyUboCgwPkhA",25,37,41,53,79
"9","_3Hpnxe1sJ6GOLpSRkgWyQ",8,4,1,3,1
"10","_4_Qn9WZVwofeaqjgQG2Zw",58,59,46,49,33
"11","_4-K6xAYzCEIn_r4B8FB2g",10,10,8,5,5
"12","_45p8kOA__aNycVVe-n-KA",152,95,86,61,42
"13","_65BG8jLwJJYihHqPkGH_w",3,5,1,1,1
"14","_6gbnNRPIc-iM_0cBLPX1A",91,108,117,113,173
"15","_6MDHQQ-PeUJ9CP-MoKApA",5,5,8,4,4
"16","_7EJtWjOjZsBUNRvzw-_Xg",35,12,6,5,5
"17","_8QoZBmm4hzyrPMdAwXhZQ",7,9,5,7,2
"18","_8Y-XNHmQ76xmxUQIrn0sA",3,2,2,1,9
"19","_9h-jH3YOkAU9-2A-dy6YQ",24,21,18,14,23
"20","_9wiSQbsRe0fiVeHQkxygQ",6,2,4,5,6
"21","_9yrJLQpFa4JWvJ74xuHpw",7,4,5,5,2
"22","_9YyclQi9o9EalWKM8MG0g",19,20,29,24,18
"23","_A4zWsLoLbjozEJYHLDx0Q",7,6,10,13,10
"24","_agqgl4kkXu_5xKCKP8gcA",46,22,8,13,8
"25","_aqNCt2RzYu8Qkj0z6A9cw",11,3,2,5,1
"26","_aRnypLaHgZ7E9wZqHilOg",10,11,6,14,7
"27","_AvHni-xdRHmZ3XfYHwGkg",39,44,65,57,76
